SiteName,Type,SR,Sdate,Stime,Year
Blease_3B_6,PC,16,2,365,2017
Blease_3B_9,PC,16,2,382,2017
Bryson_2B_9,PC,11,1,589,2017
Creswell_0B_8,PC,15,7,392,2017
Creswell_2B_10,PC,12,7,370,2017
Hudson_2B_7,PC,16,1,378,2017
Kemp_0B_10,PC,13,9,386,2017
Kemp_1B_1,PC,16,8,448,2017
Kemp_2B_5,PC,15,8,428,2017
Kessler_3B_4,PC,9,5,360,2017
Kessler_3B_5B,PC,20,5,411,2017
Mathis_1B_6,PC,16,7,503,2017
Mills_0B_9,PC,8,8,514,2017
Mills_1B_45,PC,14,8,544,2017
Shealy_0B_2,PC,11,2,466,2017
Shealy_0B_4,PC,15,2,494,2017
Shealy_1B_3B,PC,14,9,575,2017
Shealy_1B_E_S,PC,13,2,549,2017
Shealy_2B_3,PC,16,2,519,2017
Suggs_0B_E_S,PC,17,6,470,2017
Swanson_3B_2,PC,21,8,390,2017
Turkey_Rd_2B_6A,PC,20,7,428,2017
Timberhaven_2B_1,PC,19,9,441,2017
Burnett_1B_5,PC,12,1,441,2017
Honea_Path_3B_3,PC,13,0,508,2017
Honea_Path_3B_1,PC,18,0,524,2017
Honea_Path_0B_1,PC,15,6,407,2017
Abercrombie_0B_E_AB,PC,12,0,429,2017
Abercrombie_1B_2,PC,12,0,409,2017
Battlewood_1B_8,PC,20,7,418,2018
Blease_3B_6,PC,22,6,543,2018
Blease_3B_9,PC,22,6,558,2018
Bryson_2B_9,PC,13,5,359,2018
Burnett_1B_5,PC,16,5,541,2018
Creswell_0B_8,PC,11,13,502,2018
Creswell_2B_10,PC,13,13,520,2018
Gosnell_0B_5B,PC,12,11,431,2018
Hood_Creek_Rd_0B_7,PC,15,4,549,2018
Hudson_2B_7,PC,18,5,460,2018
Kemp_1B_1,PC,19,13,381,2018
Kemp_2B_5,PC,21,13,363,2018
Kessler_3B_4,PC,22,4,438,2018
Kessler_3B_5B,PC,18,4,468,2018
Mathis_1B_6,PC,23,14,419,2018
Mills_0B_9,PC,21,9,415,2018
Mills_1B_45,PC,18,9,388,2018
Shealy_0B_2,PC,19,8,474,2018
Shealy_0B_4,PC,19,8,501,2018
Shealy_1B_3B,PC,20,8,545,2018
Shealy_1B_E_S,PC,17,11,377,2018
Shealy_2B_3,PC,13,11,358,2018
Suggs_0B_E_S,PC,20,4,364,2018
Swanson_3B_2,PC,23,9,495,2018
Timberhaven_2B_1,PC,19,6,470,2018
Abercrombie_0B_E_AB,PC,18,10,461,2018
Abercrombie_1B_2,PC,17,10,445,2018
Honea_Path_0B_1,PC,18,10,418,2018
Honea_Path_3B_1,PC,23,10,370,2018
Honea_Path_3B_3,PC,19,10,357,2018
