SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,17,2,426,43201,39,4,2017
Blease_3B_9,AC,15,17,353,43201,25,3,2017
Bryson_2B_9,AC,12,28,553,43203,37,7,2017
Creswell_0B_8,AC,9,36,355,43209,14,1,2017
Creswell_2B_10,AC,9,22,354,43210,15,1,2017
Hudson_2B_7,AC,16,25,558,43202,15,2,2017
Kemp_0B_10,AC,13,35,386,43205,18,2,2017
Kemp_1B_1,AC,11,28,425,43205,22,2,2017
Kemp_2B_5,AC,17,9,521,43206,15,2,2017
Kessler_3B_4,AC,13,22,514,43205,21,2,2017
Kessler_3B_5B,AC,16,22,506,43208,15,2,2017
Mathis_1B_6,AC,17,35,467,43209,16,2,2017
Mills_0B_9,AC,10,26,419,43202,16,2,2017
Mills_1B_45,AC,17,53,387,43210,19,3,2017
Shealy_0B_2,AC,11,3,546,43208,16,2,2017
Shealy_0B_4,AC,17,25,438,43206,18,2,2017
Shealy_1B_3B,AC,12,11,367,43209,27,5,2017
Shealy_1B_E_S,AC,17,21,509,43209,13,1,2017
Shealy_2B_3,AC,13,39,443,43202,18,2,2017
Suggs_0B_E_S,AC,14,33,406,43203,35,9,2017
Swanson_3B_2,AC,17,23,428,43207,20,2,2017
Turkey_Rd_2B_6A,AC,14,19,364,43210,16,2,2017
Timberhaven_2B_1,AC,11,33,361,43207,19,2,2017
Burnett_1B_5,AC,16,34,552,43206,35,6,2017
Honea_Path_3B_3,AC,15,1,523,43208,18,2,2017
Honea_Path_3B_1,AC,12,18,368,43207,15,2,2017
Honea_Path_0B_1,AC,8,7,491,43202,13,1,2017
Abercrombie_0B_E_AB,AC,7,2,578,43202,15,1,2017
Abercrombie_1B_2,AC,12,17,414,43203,31,6,2017
Battlewood_1B_8,AC,19,42,444,43332,12,2,2018
Blease_3B_6,AC,15,21,443,43328,11,1,2018
Blease_3B_9,AC,17,31,556,43330,14,3,2018
Bryson_2B_9,AC,7,7,355,43326,13,2,2018
Burnett_1B_5,AC,15,7,508,43326,12,1,2018
Creswell_0B_8,AC,12,35,410,43330,13,2,2018
Creswell_2B_10,AC,16,28,424,43329,12,2,2018
Gosnell_0B_5B,AC,13,35,478,43332,12,2,2018
Hood_Creek_Rd_0B_7,AC,11,34,556,43332,12,2,2018
Hudson_2B_7,AC,21,24,464,43328,13,1,2018
Kemp_1B_1,AC,18,14,468,43327,12,1,2018
Kemp_2B_5,AC,15,28,355,43329,13,2,2018
Kessler_3B_4,AC,14,6,435,43326,14,2,2018
Kessler_3B_5B,AC,11,37,394,43332,12,1,2018
Mathis_1B_6,AC,16,29,502,43330,15,3,2018
Mills_0B_9,AC,12,17,516,43327,11,1,2018
Mills_1B_45,AC,18,10,569,43326,12,1,2018
Shealy_0B_2,AC,8,25,354,43328,14,2,2018
Shealy_0B_4,AC,14,39,397,43332,14,3,2018
Shealy_1B_3B,AC,18,23,417,43328,13,2,2018
Shealy_1B_E_S,AC,10,21,360,43327,11,1,2018
Shealy_2B_3,AC,15,14,387,43327,13,2,2018
Suggs_0B_E_S,AC,19,5,549,43326,15,2,2018
Swanson_3B_2,AC,17,20,560,43328,13,1,2018
Timberhaven_2B_1,AC,19,17,565,43327,13,2,2018
Abercrombie_0B_E_AB,AC,17,27,386,43329,12,1,2018
Abercrombie_1B_2,AC,17,37,443,43330,13,2,2018
Honea_Path_0B_1,AC,16,27,441,43329,11,1,2018
Honea_Path_3B_1,AC,18,27,450,43329,13,2,2018
Honea_Path_3B_3,AC,21,38,460,43330,13,2,2018
