Site,Survey,Interval,Species,Year,Total
Suggs_0B_E_S,1,1,EATO,B,1
Suggs_0B_E_S,1,1,EABL,B,1
Suggs_0B_E_S,1,1,PIWA,B,1
Suggs_0B_E_S,1,1,EAWP,B,1
Suggs_0B_E_S,1,1,TUTI,B,1
Suggs_0B_E_S,1,1,NOCA,B,1
Suggs_0B_E_S,1,1,AMCR,B,1
Suggs_0B_E_S,1,1,WOTH,B,1
Suggs_0B_E_S,1,1,WITU,B,1
Suggs_0B_E_S,1,1,AMGO,B,1
Suggs_0B_E_S,1,1,YBCH,B,1
Suggs_0B_E_S,1,1,INBU,B,1
Suggs_0B_E_S,1,1,BHNU,B,1
Suggs_0B_E_S,1,2,BHNU,B,1
Suggs_0B_E_S,1,2,AMCR,B,1
Suggs_0B_E_S,1,2,EATO,B,1
Suggs_0B_E_S,1,2,PIWA,B,1
Suggs_0B_E_S,1,2,TUTI,B,1
Suggs_0B_E_S,1,2,EABL,B,1
Suggs_0B_E_S,1,2,EAWP,B,1
Suggs_0B_E_S,1,2,WOTH,B,1
Suggs_0B_E_S,1,2,AMGO,B,1
Suggs_0B_E_S,1,2,MODO,B,1
Suggs_0B_E_S,1,2,WITU,B,1
Suggs_0B_E_S,1,2,YBCH,B,1
Suggs_0B_E_S,1,2,CACH,B,1
Suggs_0B_E_S,1,3,WITU,B,1
Suggs_0B_E_S,1,3,EAWP,B,1
Suggs_0B_E_S,1,3,EATO,B,1
Suggs_0B_E_S,1,3,EABL,B,1
Suggs_0B_E_S,1,3,YBCH,B,1
Suggs_0B_E_S,1,3,AMCR,B,1
Suggs_0B_E_S,1,3,BHNU,B,1
Suggs_0B_E_S,1,3,WOTH,B,1
Suggs_0B_E_S,1,3,CACH,B,1
Suggs_0B_E_S,1,3,TUTI,B,1
Suggs_0B_E_S,1,3,PIWA,B,1
Suggs_0B_E_S,1,3,AMGO,B,1
Suggs_0B_E_S,1,3,MODO,B,1
Suggs_0B_E_S,1,4,EABL,B,1
Suggs_0B_E_S,1,4,EATO,B,1
Suggs_0B_E_S,1,4,WOTH,B,1
Suggs_0B_E_S,1,4,AMCR,B,1
Suggs_0B_E_S,1,4,YBCH,B,1
Suggs_0B_E_S,1,4,BHNU,B,1
Suggs_0B_E_S,1,4,EAWP,B,1
Suggs_0B_E_S,1,4,YBCU,B,1
Suggs_0B_E_S,1,4,PIWO,B,1
Suggs_0B_E_S,1,4,PIWA,B,1
Suggs_0B_E_S,1,4,NOCA,B,1
Suggs_0B_E_S,1,4,YEWA,B,1
Kessler_3B_4,1,1,CAWR,B,1
Kessler_3B_4,1,1,INBU,B,1
Kessler_3B_4,1,1,EATO,B,1
Kessler_3B_4,1,1,GCFL,B,1
Kessler_3B_4,1,1,PRWA,B,1
Kessler_3B_4,1,1,OVEN,B,1
Kessler_3B_4,1,1,RBWO,B,1
Kessler_3B_4,1,1,EABL,B,1
Kessler_3B_4,1,1,BHCO,B,1
Kessler_3B_4,1,1,BHNU,B,1
Kessler_3B_4,1,1,PIWA,B,1
Kessler_3B_4,1,1,AMCR,B,1
Kessler_3B_4,1,1,NOCA,B,1
Kessler_3B_4,1,2,CAWR,B,1
Kessler_3B_4,1,2,NOCA,B,1
Kessler_3B_4,1,2,EATO,B,1
Kessler_3B_4,1,2,AMCR,B,1
Kessler_3B_4,1,2,INBU,B,1
Kessler_3B_4,1,2,BHNU,B,1
Kessler_3B_4,1,2,PRWA,B,1
Kessler_3B_4,1,2,GCFL,B,1
Kessler_3B_4,1,2,RBWO,B,1
Kessler_3B_4,1,2,TUTI,B,1
Kessler_3B_4,1,2,PIWA,B,1
Kessler_3B_4,1,3,INBU,B,1
Kessler_3B_4,1,3,EATO,B,1
Kessler_3B_4,1,3,AMCR,B,1
Kessler_3B_4,1,3,PIWA,B,1
Kessler_3B_4,1,3,PRWA,B,1
Kessler_3B_4,1,3,TUTI,B,1
Kessler_3B_4,1,3,CAWR,B,1
Kessler_3B_4,1,3,BHNU,B,1
Kessler_3B_4,1,3,GCFL,B,1
Kessler_3B_4,1,4,INBU,B,1
Kessler_3B_4,1,4,CAWR,B,1
Kessler_3B_4,1,4,BHNU,B,1
Kessler_3B_4,1,4,EATO,B,1
Kessler_3B_4,1,4,PRWA,B,1
Kessler_3B_4,1,4,AMCR,B,1
Kessler_3B_4,1,4,TUTI,B,1
Kessler_3B_4,1,4,MODO,B,1
Kessler_3B_4,1,4,GCFL,B,1
Kessler_3B_4,1,4,BLJA,B,1
Bryson_2B_9,1,1,SUTA,B,1
Bryson_2B_9,1,1,NOCA,B,1
Bryson_2B_9,1,1,TUTI,B,1
