SiteName,Type,SR
Blease_3B_6,AC,17
Blease_3B_9,AC,15
Bryson_2B_9,AC,12
Creswell_0B_8,AC,10
Creswell_2B_10,AC,9
Hudson_2B_7,AC,16
Kemp_0B_10,AC,14
Kemp_1B_1,AC,11
Kemp_2B_5,AC,17
Kessler_3B_4,AC,13
Kessler_3B_5B,AC,16
Mathis_1B_6,AC,17
Mills_0B_9,AC,10
Mills_1B_45,AC,17
Shealy_0B_2,AC,11
Shealy_0B_4,AC,17
Shealy_1B_3B,AC,12
Shealy_1B_E_S,AC,18
Shealy_2B_3,AC,13
Suggs_0B_E_S,AC,14
Swanson_3B_2,AC,17
Turkey_Rd_2B_6A,AC,15
Timberhaven_2B_1,AC,11
Burnett_1B_5,AC,17
Honea_Path_3B_3,AC,15
Honea_Path_3B_1,AC,12
Honea_Path_0B_1,AC,8
Abercrombie_0B_E_AB,AC,7
Abercrombie_1B_2,AC,12
Blease_3B_6,PC,19
Blease_3B_9,PC,12
Bryson_2B_9,PC,9
Creswell_0B_8,PC,10
Creswell_2B_10,PC,13
Hudson_2B_7,PC,17
Kemp_0B_10,PC,12
Kemp_1B_1,PC,9
Kemp_2B_5,PC,11
Kessler_3B_4,PC,12
Kessler_3B_5B,PC,17
Mathis_1B_6,PC,12
Mills_0B_9,PC,15
Mills_1B_45,PC,12
Shealy_0B_2,PC,13
Shealy_0B_4,PC,15
Shealy_1B_3B,PC,13
Shealy_1B_E_S,PC,11
Shealy_2B_3,PC,15
Suggs_0B_E_S,PC,14
Swanson_3B_2,PC,17
Turkey_Rd_2B_6A,PC,17
Timberhaven_2B_1,PC,13
Burnett_1B_5,PC,13
Honea_Path_3B_3,PC,16
Honea_Path_3B_1,PC,17
Honea_Path_0B_1,PC,12
Abercrombie_0B_E_AB,PC,12
Abercrombie_1B_2,PC,9
