Site+,y.1,y.2,y.3,y.4,OSR,SRminusUNKNS,Treatment,Nthins,Nburns
Battlewood_1B_8,12,15,13,,21,21,1B,1,1
Battlewood_1B_E_B,8,14,15,,24,24,1B,1,1
Blease_3B_6,13,18,18,15,32,32,3B,2,4
Blease_3B_9,15,12,19,14,27,26,3B,2,12
Bryson_1B_9,13,14,12,13,23,22,1B,3,1
Bryson_2B_9,10,9,12,8,23,21,2B,3,2
Bryson_3B_E_B,15,18,13,12,27,27,3B,3,3
Burnett_Pauline_1B_5,9,13,15,,21,20,1B,2,1
Creswell_0B_8,11,10,13,14,25,24,0B,0,0
Creswell_2B_10,10,13,14,11,22,22,2B,1,2
Gosnell_0B_5A,14,16,16,,27,26,0B,1,0
Gosnell_0B_5B,14,15,16,,24,24,0B,1,0
Hood_Creek_0B_7,11,13,13,,23,23,0B,1,0
Hood_Creek_0B_HC,14,16,13,,24,24,0B,1,0
Howard_2B_4,10,13,10,,20,20,2B,2,2
Hudson_2B_7,14,17,19,,33,32,2B,1,2
Hudson_2B_8,13,13,15,,26,24,2B,1,2
Kemp_0B_10,11,12,15,,24,23,3B,2,7
Kemp_1B_1,13,9,13,,24,24,1B,1,1
Kemp_2B_2,9,13,15,,25,25,2B,2,2
Kemp_2B_5,13,11,12,,19,19,2B,2,2
Kemp_3B_11,13,16,15,,27,26,3B,6,5
Kessler_3B_4,8,12,13,,22,21,3B,2,3
Kessler_3B_5A,16,16,18,,30,29,3B,3,3
Kessler_3B_5B,18,17,18,,32,32,3B,3,3
Livingston_3B_10,14,13,14,11,41,40,3B,2,4
Mathis_1B_6,14,12,14,19,30,30,1B,2,1
Mathis_1B_7,13,16,17,14,30,30,1B,1,1
Mills_0B_9,7,15,12,14,27,26,0B,2,0
Mills_1B_4,16,14,13,13,25,25,1B,2,1
Mills_1B_45,15,13,18,13,26,25,1B,2,1
Shealy_0B_2,10,13,13,,22,22,0B,1,0
Shealy_0B_4,12,15,17,,29,29,0B,1,0
Shealy_1B_3A,12,12,11,,22,22,1B,1,1
Shealy_1B_3B,14,13,15,,24,23,1B,1,1
Shealy_1B_E_S,13,11,12,,20,20,1B,1,1
Shealy_2B_3,14,14,16,,26,26,2B,1,2
Suggs_0B_E_S,13,14,15,,23,23,0B,1,0
Swanson_2B_E_SW,17,15,11,,25,25,2B,3,2
Swanson_3B_2,20,17,13,,29,28,3B,3,3
Timberhaven_2B_1,15,13,17,,25,25,2B,1,2
Timberhaven_3B_7,19,16,20,,29,29,3B,3,8
Timberhaven_3B_8,14,15,16,,23,23,3B,3,8
Turkey_Rd_2B_6A,20,17,16,16,29,28,2B,2,2
Turkey_Rd_2B_6B,13,15,17,16,27,26,2B,2,2
Turner_Abercrombie_0B_E_AB,11,12,14,,22,22,0B,1,0
Turner_Abercrombie_1B_2,10,9,13,,19,19,1B,1,1
Turner_Honea_Path_0B_1,12,12,13,,19,19,0B,1,0
Turner_Honea_Path_0B_6,11,10,16,,22,21,0B,2,0
Turner_Honea_Path_3B_1,15,17,17,,27,27,3B,2,3
Turner_Honea_Path_3B_3,11,16,16,,26,25,3B,2,3
,,,,,,,,,
,,,,mean,3.6,,Count of Actual SR,,
,,,,standard dev,12.9,,12,,
,,,,variance,,,13,,
,,,,,,,12,,
,,,,,,,14,,
,,,,,,,,,
,,,,,,,Count of Actual SR,,
,,,,,,,1,,
,,,,,,,22,,
,,,,,,,18,,
,,,,,,,9,,
,,,,,,,1,,
