Row Labels,SR,SRwoUNKNS
Battlewood_1B_8,21,21
Battlewood_1B_E_B,24,24
Blease_3B_6,32,32
Blease_3B_9,27,26
Bryson_1B_9,23,22
Bryson_2B_9,23,21
Bryson_3B_E_B,27,27
Burnett_Pauline_1B_5,21,20
Creswell_0B_8,25,24
Creswell_2B_10,22,22
Gosnell_0B_5A,27,26
Gosnell_0B_5B,24,24
Hood_Creek_0B_7,23,23
Hood_Creek_0B_HC,24,24
Howard_2B_4,20,20
Hudson_2B_7,33,32
Hudson_2B_8,26,24
Kemp_0B_10,24,23
Kemp_1B_1,24,24
Kemp_2B_2,25,25
Kemp_2B_5,19,19
Kemp_3B_11,27,26
Kessler_3B_4,22,21
Kessler_3B_5A,30,29
Kessler_3B_5B,32,32
Livingston_3B_10,41,40
Mathis_1B_6,30,30
Mathis_1B_7,30,30
Mills_0B_9,27,26
Mills_1B_4,25,25
Mills_1B_45,26,25
Shealy_0B_2,22,22
Shealy_0B_4,29,29
Shealy_1B_3A,22,22
Shealy_1B_3B,24,23
Shealy_1B_E_S,20,20
Shealy_2B_3,26,26
Suggs_0B_E_S,23,23
Swanson_2B_E_SW,25,25
Swanson_3B_2,29,28
Timberhaven_2B_1,25,25
Timberhaven_3B_7,29,29
Timberhaven_3B_8,23,23
Turkey_Rd_2B_6A,29,28
Turkey_Rd_2B_6B,27,26
Turner_Abercrombie_0B_E_AB,22,22
Turner_Abercrombie_1B_2,19,19
Turner_Honea_Path_0B_1,19,19
Turner_Honea_Path_0B_6,22,21
Turner_Honea_Path_3B_1,27,27
Turner_Honea_Path_3B_3,26,25
