SiteName,Type,SR
Blease_3B_6,AC,23
Blease_3B_9,AC,22
Bryson_2B_9,AC,18
Creswell_0B_8,AC,24
Creswell_2B_10,AC,23
Hudson_2B_7,AC,25
Kemp_0B_10,AC,23
Kemp_1B_1,AC,26
Kemp_2B_5,AC,24
Kessler_3B_4,AC,21
Kessler_3B_5B,AC,27
Mathis_1B_6,AC,22
Mills_0B_9,AC,18
Mills_1B_45,AC,24
Shealy_0B_2,AC,22
Shealy_0B_4,AC,25
Shealy_1B_3B,AC,22
Shealy_1B_E_S,AC,29
Shealy_2B_3,AC,21
Suggs_0B_E_S,AC,21
Swanson_3B_2,AC,25
Turkey_Rd_2B_6A,AC,22
Timberhaven_2B_1,AC,24
Burnett_1B_5,AC,24
Honea_Path_3B_3,AC,24
Honea_Path_3B_1,AC,24
Honea_Path_0B_1,AC,17
Abercrombie_0B_E_AB,AC,15
Abercrombie_1B_2,AC,19
Blease_3B_6,PC,32
Blease_3B_9,PC,27
Bryson_2B_9,PC,19
Creswell_0B_8,PC,21
Creswell_2B_10,PC,21
Hudson_2B_7,PC,34
Kemp_0B_10,PC,25
Kemp_1B_1,PC,26
Kemp_2B_5,PC,20
Kessler_3B_4,PC,21
Kessler_3B_5B,PC,32
Mathis_1B_6,PC,25
Mills_0B_9,PC,22
Mills_1B_45,PC,24
Shealy_0B_2,PC,23
Shealy_0B_4,PC,33
Shealy_1B_3B,PC,23
Shealy_1B_E_S,PC,23
Shealy_2B_3,PC,26
Suggs_0B_E_S,PC,27
Swanson_3B_2,PC,29
Turkey_Rd_2B_6A,PC,26
Timberhaven_2B_1,PC,29
Burnett_1B_5,PC,21
Honea_Path_3B_3,PC,26
Honea_Path_3B_1,PC,28
Honea_Path_0B_1,PC,23
Abercrombie_0B_E_AB,PC,23
Abercrombie_1B_2,PC,22
