SiteName,Type,SR,Year
Battlewood_1B_8,AC,26,B
Blease_3B_6,AC,19,B
Blease_3B_9,AC,23,B
Bryson_2B_9,AC,18,B
Burnett_1B_5,AC,21,B
Creswell_0B_8,AC,21,B
Creswell_2B_10,AC,23,B
Gosnell_0B_5B,AC,22,B
Hood_Creek_Rd_0B_7,AC,20,B
Hudson_2B_7,AC,29,B
Kemp_1B_1,AC,28,B
Kemp_2B_5,AC,25,B
Kessler_3B_4,AC,22,B
Kessler_3B_5B,AC,22,B
Mathis_1B_6,AC,24,B
Mills_0B_9,AC,18,B
Mills_1B_45,AC,23,B
Shealy_0B_2,AC,21,B
Shealy_0B_4,AC,19,B
Shealy_1B_3B,AC,23,B
Shealy_1B_E_S,AC,24,B
Shealy_2B_3,AC,27,B
Suggs_0B_E_S,AC,25,B
Swanson_3B_2,AC,21,B
Timberhaven_2B_1,AC,26,B
Abercrombie_0B_E_AB,AC,22,B
Abercrombie_1B_2,AC,22,B
Honea_Path_0B_1,AC,25,B
Honea_Path_3B_1,AC,23,B
Honea_Path_3B_3,AC,23,B
Battlewood_1B_8,PC,26,B
Blease_3B_6,PC,24,B
Blease_3B_9,PC,22,B
Bryson_2B_9,PC,21,B
Burnett_1B_5,PC,21,B
Creswell_0B_8,PC,19,B
Creswell_2B_10,PC,21,B
Gosnell_0B_5B,PC,24,B
Hood_Creek_Rd_0B_7,PC,21,B
Hudson_2B_7,PC,25,B
Kemp_1B_1,PC,26,B
Kemp_2B_5,PC,24,B
Kessler_3B_4,PC,25,B
Kessler_3B_5B,PC,27,B
Mathis_1B_6,PC,26,B
Mills_0B_9,PC,21,B
Mills_1B_45,PC,23,B
Shealy_0B_2,PC,20,B
Shealy_0B_4,PC,26,B
Shealy_1B_3B,PC,25,B
Shealy_1B_E_S,PC,22,B
Shealy_2B_3,PC,24,B
Suggs_0B_E_S,PC,26,B
Swanson_3B_2,PC,25,B
Timberhaven_2B_1,PC,25,B
Abercrombie_0B_E_AB,PC,24,B
Abercrombie_1B_2,PC,23,B
Honea_Path_0B_1,PC,24,B
Honea_Path_3B_1,PC,24,B
Honea_Path_3B_3,PC,26,B
