"ACFL","AMCR","AMGO","AMRE","AMRO","BACS","BAWW","BDOW","BGGN","BHCO","BHNU","BHVI","BLGR","BLJA","BRTH","CACH","CAGO","CAWR","CEWA","CHSP","CHSW","CHUCK","COGR","COYE","DOWO","EABL","EAPH","EATO","EAWP","FICR","FISP","GCFL","GHOW","GRCA","HAWO","HOFI","HOWA","INBU","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NOWA","OVEN","owl","OWL","PIWA","PIWO","PRWA","RBHU","RBWO","REVI","RHWO","RSHA","RTHU","RWBB","SUTA","TUTI","WBNU","WEVI","WHIP","WITU","WOTH","WTSP","YBCH","YBCU","YEWA","YTWA"
"Abercrombie_0B_E_AB",0,23,1,0,0,0,6,0,4,0,4,0,0,4,0,6,1,11,0,3,0,0,0,0,4,6,0,15,0,0,0,6,0,0,0,0,0,4,7,0,17,0,0,0,0,0,0,0,14,0,0,0,3,0,1,0,0,0,5,24,0,7,0,0,0,0,0,2,0,0
"Abercrombie_1B_2",1,23,4,0,0,0,0,0,1,0,2,0,0,7,0,4,0,14,0,7,1,0,1,0,5,9,2,18,7,0,4,0,0,0,0,0,0,4,10,0,15,0,1,0,0,0,0,0,21,0,0,0,2,0,3,0,0,0,3,24,2,0,0,2,0,0,0,0,0,0
"Battlewood_1B_8",7,10,3,0,0,0,3,0,5,2,5,0,0,2,0,6,0,5,0,0,0,0,0,0,5,2,0,6,12,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,0,11,0,0,12,1,0,0,3,3,4,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0
"Blease_3B_6",16,20,3,0,0,0,1,0,1,1,4,0,0,3,0,7,0,17,0,4,0,0,0,0,0,1,1,4,6,0,0,0,0,0,0,0,0,21,16,0,19,0,0,0,0,0,0,0,21,0,0,0,8,3,0,1,0,0,16,21,0,1,0,1,0,0,8,0,2,3
"Blease_3B_9",0,18,3,0,0,0,2,0,3,4,4,0,0,9,0,6,0,12,0,15,0,0,0,0,1,8,0,17,20,0,1,0,0,0,0,0,0,21,13,2,13,0,0,0,0,0,0,0,16,3,1,0,12,0,0,0,0,0,9,15,0,0,0,1,0,0,0,1,0,0
"Bryson_2B_9",0,11,1,0,0,0,4,0,0,2,1,0,3,5,0,9,0,12,0,4,0,3,0,0,1,0,0,17,19,0,0,0,0,0,0,0,0,6,4,0,20,0,0,0,0,0,0,0,24,0,0,0,2,7,1,0,0,0,5,22,0,0,3,0,0,0,1,0,2,0
"Burnett_1B_5",0,16,3,0,0,0,2,0,9,5,8,0,1,3,0,9,0,7,0,2,2,0,0,0,4,1,0,8,0,0,0,0,0,0,2,4,0,16,12,0,23,0,0,0,0,0,0,0,18,0,0,0,6,0,0,4,0,0,15,24,0,0,2,2,0,1,0,1,0,0
"Creswell_0B_8",0,15,6,0,4,0,0,0,0,4,1,0,0,4,3,10,0,13,0,3,2,0,2,0,1,3,0,4,3,0,0,3,0,0,0,0,1,0,15,1,14,0,5,0,0,0,0,0,8,1,0,0,14,2,0,0,0,0,4,19,0,0,2,2,0,0,0,4,0,2
"Creswell_2B_10",0,12,4,0,0,0,2,0,4,1,3,0,0,9,0,14,0,18,0,1,0,0,0,0,6,4,0,4,3,0,0,1,0,0,0,0,0,8,13,0,15,0,12,0,0,1,0,0,15,0,0,0,14,0,0,1,0,0,6,22,0,0,7,2,0,0,0,2,0,0
"Gosnell_0B_5B",0,12,5,0,0,0,2,0,1,0,0,0,0,5,0,2,0,2,0,2,0,0,0,0,1,0,0,9,0,0,0,3,0,0,0,0,3,4,5,0,2,0,0,0,0,9,0,0,0,0,0,0,2,3,0,0,0,0,6,8,0,7,0,0,0,0,0,1,0,0
"Honea_Path_0B_1",0,17,2,0,0,0,0,0,4,3,5,0,0,4,0,10,0,19,2,4,0,0,0,0,0,12,1,11,10,0,10,7,0,0,1,0,0,7,5,1,20,0,0,0,0,0,1,0,23,1,1,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,1,1,0,0
"Honea_Path_3B_1",15,18,0,0,0,0,3,0,15,0,4,0,0,5,0,13,1,15,0,12,0,0,0,0,2,0,0,15,8,0,0,2,0,0,0,0,0,21,20,0,18,0,0,0,0,0,0,0,17,1,0,0,14,1,0,1,0,0,11,17,0,9,0,0,0,0,1,7,0,0
