Site,y.1,y.2,y.3,y.4,YearCat,Treatment,Herbicide,LastB,LastT,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,TimeSinceB,TimeSinceT,HWdens_10,HWdens_50,HWdens_100,FG_herb,FG_shrub,NHW_saplings,NP_over_20cm,Rel_HW2P_canopy,Rel_HW2P_shrubcover,LCR,HW_dens_1050,HW_shrub,Parea,ShapeIndex,PAratio,FracDimIndex,CoreAreaIndex,Ag500m,Ag1km,Ag5km,Ag30km,Evergreen500m,Evergreen1km,Evergreen5km,Evergreen30km,Imperv500m,Imperv1km,Imperv5km,Imperv30km,Protected30km,HighDev500m,HighDev1km,HighDev5km,HighDev30km,LowDev500m,LowDev1km,LowDev5km,LowDev30km,OpenDev500m,OpenDev1km,OpenDev5km,OpenDev30km,Grass500m,Grass1km,Grass5km,Grass30km,Schrubs500m,Schrubs1km,Schrubs5km,Schrubs30km,Water500m,Water1km,Water5km,Water30km,NSoilTypes,FPSiteIndex,SiteIndexPrimaryS,PISoils,SISoils,HydricSoils,Latitude,Longitude,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4,Time.1,Time.2,Time.3,Time.4
Battlewood_1B_8,3,5,3,,A,1B,0,2016,2015,81,1.6,88.352,1.125,76.667,32,1,1,1,2,26.8,35.4,42.4,0.244,0.035,4.2,4,0.16,1,0.44,62.2,50.5,126.964,1.666666667,0.009615385,1.083592793,0.153846154,0,15.65573509,2520.139514,73534.05541,83.76717095,218.738054,2835.555716,109886.1903,0,0,24.30740491,4731.197962,58260.71386,0,0,13.10966952,3208.399418,0,0,108.8913313,9136.574331,0,4.655182563,754.4948417,28173.7834,12.10024057,47.66886251,1125.23004,38080.42902,3.020700914,14.53355461,745.1695026,14049.93255,0,0,63.48695025,2137.623115,7,72.81145585,72,5.8,4.6,0,34.61258518,-81.87162534,3,2,2,,1,1,1,,1,0,1,,1,22,34,,137,171,6,
Battlewood_1B_E_B,1,1,6,,A,1B,0,2016,2015,84,0.2,88.196,1.438,61.933,20,1,1,1,2,11.6,7,4.4,0.182,0.195,0.8,4.8,0.11,0.6,0.5,18.6,1.9,45.59,1.222222222,0.012222222,1.04290032,0.111111111,0.001733002,24.81702511,3049.06037,73373.08809,97.60841775,303.6485993,2782.424237,109681.3501,0,0,25.11003591,4940.366784,57937.90462,0,0,13.69762581,3218.296662,0,0.222394843,109.3967513,9339.467739,1.137793805,8.258121345,726.647456,28311.83508,26.72646841,53.57414903,1091.054645,38048.21795,0.261688617,10.16963798,744.8610468,13849.59697,0,0,58.78076427,2155.112336,5,72.12903226,72,8.2,47.4,0,34.61807549,-81.86852739,3,3,2,,2,1,1,,1,0,2,,1,22,34,,155,151,23,
Blease_3B_6,2,4,6,5,A,3B,1,2017,2005,102,0.4,98.128,0.875,81.333,32,4,2,0,12,10.75,12.5,18.5,0.29625,0,2,2.8,0.08,0.8,0.43,23.25,6,70.018,1.363636364,0.010344828,1.052673666,0.103448276,0.022545108,49.21460048,2637.115341,77584.68438,116.3214788,275.4053354,5449.451977,156445.1201,0,0,3.892817987,1103.024056,12427.74375,0,0,1.155247276,6029.59072,0,0.222394843,38.49197771,2627.019105,4.723150866,22.29483497,599.3480242,21726.86889,1.254511413,36.33157164,1484.900778,32368.77754,0,37.67211959,746.8058088,20341.63949,0,0,19.71077495,10572.5492,7,81.12096774,81,69.9,23.7,0.31,34.07137298,-81.8278677,3,3,2,2,2,3,1,1,0,0,1,2,2,15,30,54,17,117,66,42
Blease_3B_9,1,4,6,8,A,3B,1,2017,2005,87,2.6,88.3,0.15,70.133,37,12,2,0,12,39.8,66.2,20.8,0.868,0,0,4,0.01,1,0.49,106,21.5,38.336,1.111111111,0.011764706,1.032022316,0.117647059,2.013935966,54.72972406,2766.351137,77275.31405,70.45932508,262.0824079,5296.785229,155588.3925,0,0,6.996538068,1102.033742,11965.50409,0,0,3.058251582,6020.105513,0,0.002071211,41.80348709,2634.894382,1.871448652,13.67320253,629.3811981,21672.22833,12.79259098,26.86245692,1473.698838,32395.15416,31.43753626,42.92980829,717.6343974,20413.44016,0,0,19.8524181,10407.72505,4,79.53654743,81,100,0,0,34.06784671,-81.82921861,1,1,2,2,1,3,1,1,0,1,1,2,2,15,30,54,34,133,51,61
Bryson_1B_9,6,3,6,3,A,1B,1,2010,2008,92,0,92.72,3.775,73.8,35,1,3,7,9,26.8,28,27,0.042,0,9.4,2.2,0.11,1,0.4,54.8,13.5,32.32,1.111111111,0.011111111,1.027147499,0.111111111,16.22899756,86.39204649,5030.779027,92150.40385,82.53782473,247.4590604,2502.329325,80776.91223,0,0.452503402,20.18966976,5742.170781,22449.64047,0,0,10.64744531,3495.074263,3.485678311,9.823239931,144.1969448,10496.79892,8.971708575,43.76474548,599.0793113,31045.33114,7.422671968,60.77764561,1029.87927,37699.15032,2.900191185,5.781052153,276.1714531,14160.89644,0,1.237661576,163.3641593,2885.702149,4,75.139,73,0,9.9,0,34.60228968,-81.98273049,1,3,3,3,1,2,2,0,0,2,2,0,1,10,28,50,210,130,38,29
Bryson_2B_9,3,1,4,2,A,2B,1,2014,2008,91,0,93.604,4.263,74.333,35,2,3,3,9,15.4,24,23.2,0.158,0,41,3.2,0.25,0.82,0.33,39.4,13.9,90.078,1.5,0.01,1.063384331,0.166666667,0,18.70370414,5117.484098,92687.98796,98.11511762,274.0423553,2325.04769,81507.89756,0,0,21.3379901,5653.821435,24354.42871,0,0,11.1336539,3510.518503,0,0,144.075893,10424.42533,3.884390385,7.721626691,601.788373,30732.85092,5.674434257,33.79978784,1044.307309,37579.43539,1.005866592,10.3191198,290.3742194,13965.00136,0,0,162.4853607,2912.828727,7,75.15844156,73,35.4,9.8,0,34.60616807,-81.97431338,3,1,3,3,1,3,1,0,1,2,2,0,1,10,28,50,241,153,61,53
Bryson_3B_E_B,2,3,4,1,A,3B,1,2017,2008,90,0.2,85.336,0.875,73.333,35,3,3,0,9,5.6,11.8,15.4,0.099,0,15.6,2.2,0.23,0.98,0.42,17.4,7.1,23.169,1.5,0.02,1.071087057,0,42.56176034,126.5427385,4942.193415,92077.69044,45.10413973,160.3397224,2482.225274,80134.22902,0,3.052299452,19.95298894,5837.13989,21467.95055,0,1.433114683,10.34290162,3495.074263,7.216087864,11.3890538,151.3462218,10555.30448,19.08892458,48.28000696,589.0055933,31249.42437,8.404026852,59.5589327,1037.635148,37829.61703,0.0754044,6.956741492,302.9113995,14227.44042,0,8.237910708,167.9628531,2885.710006,4,74.657,73,2.7,0,0,34.60131789,-81.9865295,3,3,2,4,2,1,3,0,0,2,2,0,1,10,28,50,189,178,9,15
Burnett_Pauline_1B_5,2,6,5,,A,1B,1,2015,2015,77,0.4,95.424,1.388,70.95,29,1,2,2,2,13,6,6,0.39,0.05,3.6,4,0.01,0.77,0.42,19,12.4,17.682,1.333333333,0.02,1.061395976,0,16.74690574,128.1699152,7570.04103,79789.71123,42.82109652,71.95210083,1160.481767,66639.72286,0,0.444789687,47.75918389,18327.62468,10351.78051,0,0.446489575,27.7335014,1186.450393,1.012225423,10.38793806,189.7178461,20396.69058,8.081788776,28.2299943,709.32647,47667.69954,4.66397748,21.21894263,655.4818456,36708.13564,0.103836226,1.014463964,124.1907953,11492.00399,1.139744171,2.500899467,119.3997878,2875.950049,3,72,72,92.9,0,0,34.81810818,-81.88926347,3,1,2,,2,1,0,,1,0,1,,1,22,34,,93,8,70,
Creswell_0B_8,3,3,5,5,A,0B,0,,,100,2,96.62,3.425,66.333,27,0,0,50,50,12,20,6.6,0.041,0,1.2,4,0.4,0.87,0.51,32,11.7,18.268,1.333333333,0.02,1.061395976,0,50.04886684,82.1647297,477.2195511,25071.57616,32.53751243,178.7274045,6399.82003,135529.5331,0,0,7.29344113,4544.231198,176398.4538,0,0,3.792669329,12050.01583,0.587207088,2.239781607,20.74582753,9649.808787,4.44060581,14.17440235,364.5561474,20833.39194,13.26625654,107.6693879,993.7549994,25499.59488,0,5.433481512,632.036295,22277.80067,0,0,27.11750235,45168.08623,5,80.64810127,80,55.7,16,0,33.72933039,-82.15757565,1,1,2,2,1,0,0,0,1,2,0,1,7,20,36,49,44,147,108,24
Creswell_2B_10,4,4,1,3,A,2B,1,2015,2011,81,4,91.628,1.35,71.033,42,2,1,2,6,7.4,2.8,1.4,0.42,0.125,1,1.6,0.18,0.7,0.44,10.2,0.6,46.922,1.25,0.0125,1.037243574,0.0625,18.81738938,68.20219121,383.5132206,25236.44895,63.47907435,192.2946488,6239.975391,135164.9681,0,0,7.29344113,5349.142578,176041.042,0,0,3.792669329,12053.78015,0.66718453,3.881781353,23.64829566,10497.85236,8.68009008,34.40729619,378.2411743,21338.86318,19.70882067,59.06397891,1029.680334,25902.94695,0,0,682.148685,21801.83262,0,0,27.42321384,45375.61529,5,80.45734266,80,28.5,9.3,0,33.72386196,-82.16035928,1,2,3,1,2,1,0,0,1,2,0,1,7,20,36,49,22,169,131,7
Gosnell_0B_5A,3,4,5,,A,0B,0,,2008,110,0.2,98.388,1.763,74.7,22,0,1,50,9,11.25,10.4,7.2,0.202,0,12.2,4.8,0.47,1,0.43,19.75,22.3,176.031,1.294117647,0.006285714,1.040664387,0.428571429,0,6.218072891,1787.507264,88996.34613,47.11366962,186.2393392,3379.464868,71725.65495,0,0,8.452320503,5357.503396,2899.086047,0,0,4.306885246,3524.126329,0,0,40.08876499,9696.851489,0,7.426250864,547.3399766,30333.03511,13.94070474,51.61182928,1134.199956,40885.94811,0.719275802,21.57914748,548.8479914,16511.62863,0,4.429731569,211.3152301,8412.658752,4,81.218,80,7.8,0,0.39,34.45008673,-82.13503696,1,1,2,,0,1,1,,0,1,2,,0,10,33,,232,34,128,
Gosnell_0B_5B,3,5,6,,A,0B,0,,2008,98,0.4,96.672,3.063,75.333,22,0,1,50,9,15.6,8.4,9.4,0.014,0,8.6,4,0.46,1,0.45,24,18.3,176.031,1.294117647,0.006285714,1.040664387,0.428571429,1.770074794,76.29971784,2126.044619,89872.24984,57.15409129,162.9403714,3158.296351,70229.94403,0.44479,0.444789687,4.23611577,5362.41443,2987.423759,0.152272,0.224495521,1.97304969,3521.195704,1.642795307,1.86519015,36.62765928,9584.059234,3.004901628,21.17158041,540.1136526,30087.74813,4.309922652,63.29350703,1157.887544,40846.75578,0.889902191,26.98722554,437.5370184,16159.45781,0,0,261.5419344,8296.487137,4,81.218,80,7.8,0,0.39,34.45198129,-82.1439134,1,2,2,,0,1,0,,1,2,1,,10,21,33,,14,185,146,
Hood_Creek_0B_7,3,2,5,,A,0B,0,,2012,104,0,99.22,2.113,81.667,25,0,1,50,5,16.4,12,10.2,0.212,0.076,27.8,2.8,0.55,1,0.42,28.4,29.5,48.751,1.333333333,0.013333333,1.05728152,0,19.02778353,73.89151541,2769.956106,91523.08145,61.31242993,135.9486033,2638.699849,68493.54961,0,0,4.802149056,4965.69886,2990.347865,0,0,2.049562407,3571.073519,0,0.444262089,40.8755722,9121.573846,6.352851203,18.20951307,579.5985185,30140.99913,14.6620781,60.85979873,1258.787758,41145.56349,6.392402112,21.86617758,437.935969,15683.7362,0,0,314.7578504,8028.457764,5,72.866,71,28.5,64.6,0,34.45371894,-82.16041309,1,1,2,,1,1,0,,1,2,2,,6,10,33,,17,84,182,
Hood_Creek_0B_HC,4,6,8,,A,0B,0,,2012,97,0,98.388,3.363,64.667,25,0,1,50,5,15.2,9.2,5.4,0.127,0.245,4.4,4.2,0.13,0.58,0.51,24.4,8.3,19.893,1.333333333,0.02,1.061395976,0,2.46254585,110.6458489,2796.983672,91209.25554,68.52573503,125.707003,2724.31558,68779.11223,0,0,4.004423636,5056.96489,3005.771497,0,0,1.745018721,3584.625999,0,0.66718453,35.2409015,9182.740828,5.971896495,21.52720339,551.6812287,30273.74279,13.21878552,43.62381759,1242.721571,41012.38326,8.008247982,17.7355756,433.5444728,15766.91851,0,0,268.2503444,8081.346658,5,75.334,81,0,87.6,0,34.45193041,-82.15869421,3,2,3,,1,2,1,,2,2,2,,10,21,33,,67,161,165,
