	model	formula	lam(Age)	SElam(Age)	lam(BA)	SElam(BA)	lam(Ccover)	SElam(Ccover)	lam(Herbicide)	SElam(Herbicide)	lam(Int)	SElam(Int)	lam(Ldepth)	SElam(Ldepth)	lam(Nsnags)	SElam(Nsnags)	lam(TimeSinceB)	SElam(TimeSinceB)	lam(TimeSinceT)	SElam(TimeSinceT)	lam(Treatment1B)	SElam(Treatment1B)	lam(Treatment2B)	SElam(Treatment2B)	lam(Treatment3B)	SElam(Treatment3B)	lam(TreeHt)	SElam(TreeHt)	p(Int)	SEp(Int)	p(Jdate)	SEp(Jdate)	p(Noise)	SEp(Noise)	Converge	CondNum	negLogLike	nPars	n	AIC	delta	AICwt	Rsq	cumltvWt
6	disturbance2.inbu	~Jdate + Noise ~ TimeSinceB + TimeSinceT	NA	NA	NA	NA	NA	NA	NA	NA	0.524016667	0.149984887	NA	NA	NA	NA	-0.319740309	0.153346903	-0.094332301	0.16594827	NA	NA	NA	NA	NA	NA	NA	NA	-0.023984682	0.247279393	0.629624804	0.149626836	-0.268343865	0.149016698	0	7.161740899	173.0654296	6	51	358.1308592	0	0.648701297	NA	0.648701297
1	null2.inbu	~Jdate + Noise ~ 1	NA	NA	NA	NA	NA	NA	NA	NA	0.558255364	0.140053792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015401251	0.234236189	0.649134214	0.148927206	-0.280338146	0.149489993	0	5.506733899	176.2498211	4	51	360.4996421	2.368782862	0.198458682	NA	0.847159979
5	treatment2.inbu	~Jdate + Noise ~ Treatment + BA + TimeSinceB + TimeSinceT + Herbicide	NA	NA	0.156069516	0.134057356	NA	NA	0.19211297	0.262922913	0.295870525	1.947136009	NA	NA	NA	NA	-0.27778452	1.0690773	-0.205151976	0.209949801	0.072914137	2.472893558	-0.208436579	2.524611198	0.443771611	2.53896594	NA	NA	-0.050253318	0.252629229	0.633652898	0.147947471	-0.286750732	0.149831177	0	3700.479092	170.4039762	11	51	362.8079524	4.677093185	0.06257875	NA	0.90973873
3	local2.inbu	~Jdate + Noise ~ BA + Ccover + TreeHt + Ldepth	NA	NA	-0.14879243	0.227520611	0.193239366	0.237320694	NA	NA	0.547661672	0.147827204	-0.264584923	0.13224728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.101207158	0.128905765	-0.032330652	0.249250441	0.63391351	0.149126818	-0.241181531	0.150606782	0	14.21609874	173.9226457	8	51	363.8452914	5.714432159	0.037253887	NA	0.946992616
4	lh2.inbu	~Jdate + Noise ~ TreeHt + Age	0.068655095	0.141011483	NA	NA	NA	NA	NA	NA	0.557868425	0.141330106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.097613467	0.147463072	0.008834626	0.237254076	0.644561823	0.14920938	-0.276982437	0.149728573	0	8.173507149	176.0223757	6	51	364.0447514	5.913892131	0.033717814	NA	0.98071043
2	global2.inbu	~Jdate + Noise ~ Treatment + BA + Nsnags + Ccover + Ldepth + TreeHt + Age + TimeSinceB + TimeSinceT + Herbicide	0.047773727	0.219998964	-0.129919354	0.235752986	0.396461886	0.24974257	0.140072146	0.266834358	-3.832503078	2.576744196	-0.191455867	0.167001103	-0.219577196	0.175854658	2.015360642	1.419492061	-0.082215835	0.22056075	5.397669387	3.277504166	4.982608653	3.295209353	6.118910261	3.404713147	-0.483478196	0.229499103	-0.132489998	0.27869327	0.613591313	0.14769209	-0.252770789	0.149659984	0	8356.165822	166.5808374	16	51	365.1616749	7.030815647	0.01928957	NA	1
																																												
																																												
																	-0.166393406		0.071615968																									
																	-0.473087212		-0.260280571																									
																																												
																																												
																"> confint(disturbance2.inbu,type=""state"",method=""normal"")"																												
																	0.025	0.975																										
																lam(Int)	0.2300517	0.8179816																										
																lam(TimeSinceB) 	-0.6202947	-0.0191859																										
																lam(TimeSinceT)	-0.4195849	0.2309203																										
