Site,Point,Species
Battlewood_1B_8,1B8,NOCA
Battlewood_1B_8,1B8,EAWP
Battlewood_1B_8,1B8,TUTI
Battlewood_1B_8,1B8,PIWA
Battlewood_1B_8,1B8,EAWP
Battlewood_1B_8,1B8,PIWA
Battlewood_1B_8,1B8,NOCA
Battlewood_1B_8,1B8,INBU
Battlewood_1B_8,1B8,CACH
Battlewood_1B_8,1B8,BHNU
Battlewood_1B_8,1B8,WHIP
Battlewood_1B_8,1B8,BGGN
Battlewood_1B_8,1B8,EABL
Battlewood_1B_8,1B8,OVEN
Battlewood_1B_8,1B8,BGGN
Battlewood_1B_8,1B8,EABL
Battlewood_1B_8,1B8,AMCR
Battlewood_1B_8,1B8,PIWA
Battlewood_1B_8,1B8,RBWO
Battlewood_1B_8,1B8,OVEN
Battlewood_1B_E_B,1BEB,INBU
Battlewood_1B_E_B,1BEB,PIWA
Battlewood_1B_E_B,1BEB,AMCR
Battlewood_1B_E_B,1BEB,EATO
Battlewood_1B_E_B,1BEB,EAWP
Battlewood_1B_E_B,1BEB,AMGO
Battlewood_1B_E_B,1BEB,WITU
Battlewood_1B_E_B,1BEB,YBCH
Battlewood_1B_E_B,1BEB,CACH
Battlewood_1B_E_B,1BEB,NOCA
Battlewood_1B_E_B,1BEB,EABL
Battlewood_1B_E_B,1BEB,NOBO
Battlewood_1B_E_B,1BEB,DOWO
Battlewood_1B_E_B,1BEB,INBU
Battlewood_1B_E_B,1BEB,CHSP
Battlewood_1B_E_B,1BEB,NOFL
Blease_3B_6,3B6,NOCA
Blease_3B_6,3B6,EAWP
Blease_3B_6,3B6,BLJA
Blease_3B_6,3B6,TUTI
Blease_3B_6,3B6,RBWO
Blease_3B_6,3B6,PRWA
Blease_3B_6,3B6,CAWR
Blease_3B_6,3B6,AMGO
Blease_3B_6,3B6,YEWA
Blease_3B_6,3B6,PIWA
Blease_3B_6,3B6,PIWA
Blease_3B_6,3B6,AMCR
Blease_3B_6,3B6,EATO
Blease_3B_6,3B6,ACFL
Blease_3B_6,3B6,BHCO
Blease_3B_6,3B6,YBCH
Blease_3B_6,3B6,WBNU
Blease_3B_6,3B6,NOBO
Blease_3B_6,3B6,RBWO
Blease_3B_6,3B6,BLJA
Blease_3B_6,3B6,TUTI
Blease_3B_6,3B6,MODO
Blease_3B_6,3B6,AMCR
Blease_3B_6,3B6,AMGO
Blease_3B_9,3B9,INBU
Blease_3B_9,3B9,EAWP
Blease_3B_9,3B9,TUTI
Blease_3B_9,3B9,TUTI
Blease_3B_9,3B9,SUTA
Blease_3B_9,3B9,EATO
Blease_3B_9,3B9,CAWR
Blease_3B_9,3B9,CHSP
Blease_3B_9,3B9,DOWO
Blease_3B_9,3B9,INBU
Blease_3B_9,3B9,AMCR
Blease_3B_9,3B9,MODO
Blease_3B_9,3B9,EABL
Blease_3B_9,3B9,REVI
Blease_3B_9,3B9,BHNU
Blease_3B_9,3B9,CACH
Blease_3B_9,3B9,RBWO
