Site,y.1,y.2,y.3,y.4,Treatment,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,LastB,TimeSinceB,LastT,Herbicide,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4
Battlewood_1B_8,3,3,3,,1B,81,1.6,88.352,1.125,76.667,32,1,1,2016,1,2015,0,3,2,2,,1,1,1,,1,0,1,,2457884.5,2457905.5,2457917.5,
Battlewood_1B_E_B,2,2,1,,1B,84,0.2,88.196,1.438,61.933,20,1,1,2016,1,2015,0,3,3,2,,2,1,1,,1,0,2,,2457884.5,2457905.5,2457917.5,
Blease_3B_6,2,2,2,0,3B,102,0.4,98.128,0.875,81.333,32,4,2,2017,0,2005,1,3,3,2,2,2,3,1,1,0,0,1,2,2457885.5,2457898.5,2457913.5,2457937.5
Blease_3B_9,0,2,0,0,3B,87,2.6,88.3,0.15,70.133,37,12,2,2017,0,2005,1,1,1,2,2,1,3,1,1,0,1,1,2,2457885.5,2457898.5,2457913.5,2457937.5
Bryson_1B_9,1,1,2,2,1B,92,0,92.72,3.775,73.8,35,1,3,2010,7,2008,1,1,3,3,3,1,2,2,0,0,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Bryson_2B_9,2,2,3,0,2B,91,0,93.604,4.263,74.333,35,2,3,2014,3,2008,1,3,1,3,3,1,3,1,0,1,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Bryson_3B_E_B,2,1,3,3,3B,90,0.2,85.336,0.875,73.333,35,3,3,2017,0,2008,1,3,3,2,4,2,1,3,0,0,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Burnett_Pauline_1B_5,1,2,2,,1B,77,0.4,95.424,1.388,70.95,29,1,2,2015,2,2015,1,3,1,2,,2,1,0,,1,0,1,,2457884.5,2457905.5,2457917.5,
Creswell_0B_8,1,0,2,0,0B,100,2,96.62,3.425,66.333,27,0,0,.,.,.,0,1,1,2,2,1,0,0,0,1,2,0,1,2457890.5,2457903.5,2457919.5,2457932.5
Creswell_2B_10,2,0,0,0,2B,81,4,91.628,1.35,71.033,42,2,1,2015,2,2011,1,1,2,3,1,2,1,0,0,1,2,0,1,2457890.5,2457903.5,2457919.5,2457932.5
Gosnell_0B_5A,1,0,1,,0B,110,0.2,98.388,1.763,74.7,22,0,1,.,.,2008,0,1,1,2,,0,1,1,,0,1,2,,2457883.5,2457893.5,2457916.5,
Gosnell_0B_5B,2,1,1,,0B,98,0.4,96.672,3.063,75.333,22,0,1,.,.,2008,0,1,2,2,,0,1,0,,1,2,1,,2457893.5,2457904.5,2457916.5,
Hood_Creek_0B_7,2,2,1,,0B,104,0,99.22,2.113,81.667,25,0,1,.,.,2012,0,1,1,2,,1,1,0,,1,2,2,,2457889.5,2457893.5,2457916.5,
Hood_Creek_0B_HC,0,2,1,,0B,97,0,98.388,3.363,64.667,25,0,1,.,.,2012,0,3,2,3,,1,2,1,,2,2,2,,2457893.5,2457904.5,2457916.5,
Howard_2B_4,3,1,4,,2B,67,0,86.324,3.388,59.383,25,2,2,2016,1,2016,0,1,3,1,,1,1,2,,2,0,1,,2457883.5,2457899.5,2457923.5,
Hudson_2B_7,2,1,0,,2B,73,0.8,87.624,1.738,72.133,26,2,1,2013,4,2016,1,1,1,2,,1,1,1,,1,1,1,,2457884.5,2457905.5,2457917.5,
Hudson_2B_8,3,3,2,,2B,83,0.8,82.788,1.963,65.867,26,2,1,2014,3,2016,1,1,3,2,,1,1,1,,1,1,1,,2457884.5,2457905.5,2457917.5,
Kemp_0B_10,0,1,2,,3B,74,0,93.24,2.188,77.2,32,7,2,2017,0,>5,1,1,3,2,,1,2,1,,2,0,0,,2457892.5,2457912.5,2457919.5,
Kemp_1B_1,0,0,0,,1B,78,0,84.556,3.863,59.733,15,1,1,2016,1,2016,1,3,2,4,,3,2,1,,2,1,1,,2457891.5,2457912.5,2457931.5,
Kemp_2B_2,0,2,0,,2B,84,0,82.944,2.713,58,17,2,2,2014,3,2016,1,3,4,3,,1,2,1,,2,1,1,,2457892.5,2457912.5,2457931.5,
Kemp_2B_5,1,2,0,,2B,93,0,91.368,1.25,59.067,26,2,2,2017,0,>5,1,3,1,3,,2,3,1,,2,1,1,,2457891.5,2457912.5,2457931.5,
Kemp_3B_11,0,0,0,,3B,41,0.8,69.684,1.388,77.667,57,5,6,2014,3,2012,1,3,2,4,,2,2,0,,2,1,1,,2457891.5,2457912.5,2457931.5,
Kessler_3B_4,2,1,1,,3B,105,1.2,94.228,0.65,64.267,31,3,2,2016,1,2005,0,1,1,1,,1,0,1,,1,0,1,,2457888.5,2457902.5,2457918.5,
Kessler_3B_5A,3,3,3,,3B,91,0.6,89.34,1.088,77.667,31,3,3,2015,2,2016,0,1,3,1,,1,1,1,,1,0,1,,2457888.5,2457902.5,2457918.5,
Kessler_3B_5B,2,2,1,,3B,75,1.6,94.28,1.588,78.467,31,3,3,2015,2,2016,0,1,1,1,,2,1,0,,1,0,1,,2457888.5,2457902.5,2457918.5,
Livingston_3B_10,1,0,1,0,3B,73,1.4,96.1,1.525,78.083,39,4,2,2016,1,2011,1,1,1,1,1,0,3,1,2,1,0,1,2,2457885.5,2457898.5,2457913.5,2457936.5
Mathis_1B_6,0,0,0,0,1B,50,0,69.164,1.375,60.333,30,1,2,2014,3,2017,0,3,1,1,1,3,1,0,0,1,2,1,0,2457890.5,2457903.5,2457919.5,2457932.5
Mathis_1B_7,0,0,1,0,1B,74,1.6,84.14,2.875,59.8,30,1,1,2014,3,2012,0,1,1,1,2,3,1,1,0,0,2,1,0,2457890.5,2457903.5,2457919.5,2457932.5
Mills_0B_9,0,1,1,1,0B,96,1.2,94.696,1.188,68.375,30,0,2,.,.,2014,0,1,1,1,1,1,1,1,0,2,1,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Mills_1B_4,1,0,0,0,1B,97,1.2,96.516,2.213,80.267,23,1,2,2007,10,2016,0,1,3,2,2,3,1,2,0,1,0,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Mills_1B_45,2,2,0,1,1B,99,1.6,95.944,2.35,78.583,29,1,2,2007,10,2014,0,1,1,1,1,1,1,1,0,2,1,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Shealy_0B_2,2,1,0,,0B,101,1.6,91.264,1.888,46.433,18,0,1,.,.,2014,0,1,1,1,,0,1,1,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_0B_4,2,2,0,,0B,91,0.4,93.708,1.488,57.033,21,0,1,.,.,2014,1,3,1,2,,1,1,0,,0,1,2,,2457885.5,2457907.5,2457920.5,
Shealy_1B_3A,1,1,1,,1B,124,1,97.036,2.013,57.267,21,1,1,2016,1,2014,1,3,1,2,,1,1,0,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_1B_3B,2,1,1,,1B,92,0.6,90.484,1.413,51.2,21,1,1,2016,1,2014,1,3,3,1,,3,1,0,,0,2,2,,2457892.5,2457904.5,2457920.5,
Shealy_1B_E_S,1,0,0,,1B,101,1.8,92.876,1.6,57.267,21,1,1,2016,1,2014,1,3,3,1,,1,1,0,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_2B_3,0,2,1,,2B,92,1,88.924,0.575,49.933,21,2,1,2016,1,2014,1,3,1,1,,2,1,1,,0,1,2,,2457885.5,2457907.5,2457920.5,
Suggs_0B_E_S,2,2,2,,0B,76,4.4,87.26,2.7,61.967,21,0,1,.,.,2013,1,1,1,2,,1,1,0,,0,1,1,,2457889.5,2457902.5,2457916.5,
Swanson_2B_E_SW,0,2,0,,2B,67,0,83.776,2.163,69.467,28,2,3,2015,2,2016,0,1,1,1,,1,1,0,,1,0,1,,2457891.5,2457906.5,2457931.5,
