Site,y.1,y.2,y.3,y.4,Treatment,Herbicide,LastB,LastT,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,TimeSinceB,TimeSinceT,HWdens_10,HWdens_50,HWdens_100,FG_herb,FG_shrub,NHW_saplings,NP_over_20cm,Rel_HW2P_canopy,Rel_HW2P_shrubcover,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4
Battlewood_1B_8,0,0,0,,1B,0,2016,2015,81,1.6,88.352,1.125,76.667,32,1,1,1,2,26.8,35.4,42.4,0.244,0.035,4.2,4,0.16,0.997368421,3,2,2,,1,1,1,,1,0,1,,2457884.5,2457905.5,2457917.5,
Battlewood_1B_E_B,0,0,1,,1B,0,2016,2015,84,0.2,88.196,1.438,61.933,20,1,1,1,2,11.6,7,4.4,0.182,0.195,0.8,4.8,0.11,0.6,3,3,2,,2,1,1,,1,0,2,,2457884.5,2457905.5,2457917.5,
Blease_3B_6,0,0,1,1,3B,1,2017,2005,102,0.4,98.128,0.875,81.333,32,4,2,0,12,10.75,12.5,18.5,0.29625,0,2,2.8,0.08,0.8,3,3,2,2,2,3,1,1,0,0,1,2,2457885.5,2457898.5,2457913.5,2457937.5
Blease_3B_9,0,1,0,2,3B,1,2017,2005,87,2.6,88.3,0.15,70.133,37,12,2,0,12,39.8,66.2,20.8,0.868,0,0,4,0.01,1,1,1,2,2,1,3,1,1,0,1,1,2,2457885.5,2457898.5,2457913.5,2457937.5
Bryson_1B_9,0,0,0,0,1B,1,2010,2008,92,0,92.72,3.775,73.8,35,1,3,7,9,26.8,28,27,0.042,0,9.4,2.2,0.11,1,1,3,3,3,1,2,2,0,0,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Bryson_2B_9,0,0,0,0,2B,1,2014,2008,91,0,93.604,4.263,74.333,35,2,3,3,9,15.4,24,23.2,0.158,0,41,3.2,0.25,0.824210526,3,1,3,3,1,3,1,0,1,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Bryson_3B_E_B,0,0,0,0,3B,1,2017,2008,90,0.2,85.336,0.875,73.333,35,3,3,0,9,5.6,11.8,15.4,0.099,0,15.6,2.2,0.23,0.975,3,3,2,4,2,1,3,0,0,2,2,0,2457884.5,2457893.5,2457911.5,2457933.5
Burnett_Pauline_1B_5,0,1,0,,1B,1,2015,2015,77,0.4,95.424,1.388,70.95,29,1,2,2,2,13,6,6,0.39,0.05,3.6,4,0.01,0.769444444,3,1,2,,2,1,0,,1,0,1,,2457884.5,2457905.5,2457917.5,
Creswell_0B_8,0,0,0,0,0B,0,,,100,2,96.62,3.425,66.333,27,0,0,50,50,12,20,6.6,0.041,0,1.2,4,0.40,0.866666667,1,1,2,2,1,0,0,0,1,2,0,1,2457890.5,2457903.5,2457919.5,2457932.5
Creswell_2B_10,0,0,0,0,2B,1,2015,2011,81,4,91.628,1.35,71.033,42,2,1,2,6,7.4,2.8,1.4,0.42,0.125,1,1.6,0.18,0.7,1,2,3,1,2,1,0,0,1,2,0,1,2457890.5,2457903.5,2457919.5,2457932.5
